name,source_group,has_binding,has_functional,has_biased,has_oligomers,has_downstream,has_neuroimaging,has_pk_routes,has_conc_effect,has_metabolism,has_drug_interactions,has_pgx,has_tolerance,has_off_targets,has_identifiers,confidence
5-Chloro-1H-indole-3-ethanamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
"5-chloro-N,N-dimethyltryptamine",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-Chloro-αMT,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-Cyanotryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-eapb,mdma-and-entactogens,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
5-Ethoxy-DMT,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-ethoxy-αMT,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-ethyl-DMT,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-F-DMT,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-fluoro-AET,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-fluoro-DET,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-fluoro-MET,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
"5-fluoro-N,N-dimethyltryptamine",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-fluoro-α-methyltryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-fluorotryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-Fluorotryptamine hydrochloride,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-fluorotryptophan,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-HO-DMT,serotonergic-tryptamines-and-lsd,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,medium
5-HO-MET,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-htp,serotonergic-tryptamines-and-lsd,no,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,high
5-hydroxy-alpha-methyltryptophan,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-Hydroxydopamine,stimulants-amphetamines,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,high
"5-hydroxymethyl-N,N-dimethyltryptamine",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-Hydroxytryptamine O-sulfate,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-iai,mdma-and-entactogens,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,low
"5-iso-Propyl-N,N-dimethyltryptamine",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-it,mdma-and-entactogens,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,high
5-mapb,mdma-and-entactogens,no,no,no,no,yes,no,no,no,yes,no,yes,yes,yes,yes,medium
5-mapdb,mdma-and-entactogens,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,medium
5-MeO-2-TMT,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-MEO-AET,serotonergic-tryptamines-and-lsd,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
5-meo-amt,mdma-and-entactogens,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,high
